applicant,patent_count,sample_count,mainfocus
浙江大学,59,5,浙江大学在机器人领域的研究主要集中在仿人机器人的设计与优化，包括柔性足部机构、可变焦仿人眼球结构及串并联混合腿部机构等关键部件的创新。同时，该校还致力于开发基于云端知识融合的感认知增强系统以及高精度人体轮廓拟合技术，以提升机器人在感知、认知和服务能力方面的表现。
南京天创智能科技股份有限公司,46,5,南京天创智能科技股份有限公司专注于大负载防爆人形机器人的设计与控制技术，包括多级齿轮Z型升降模块、双臂自适应力控操作方法及系统、避障路径规划算法和多级线性升降机构等，旨在提高机器人负载能力、灵活性、抗干扰能力和安全性。
乐聚智能(深圳)股份有限公司,46,5,乐聚智能专注于开发高灵活度的智能机器人及其人机交互技术，包括通过优化关节设计提升机器人动作流畅性与模仿能力，以及利用图形用户界面和积木式编程方法简化机器人控制代码生成过程，提高用户操作效率。
浙江人形机器人创新中心有限公司,43,5,浙江人形机器人创新中心有限公司专注于机器人柔性关节控制与驱动技术，包括刚度可调的驱动器机构和高效安全的控制方法。同时，该公司在基于逆向工程的装配作业编程、无人驾驶数据同步以及腿足机器人稠密高度地图构建方面也有深入研究，致力于提高机器人的适应性和工作效率。
北京理工大学,38,5,北京理工大学在仿人机器人领域主要研究方向包括足部冲击吸收与姿态检测、气动人工肌肉驱动的多自由度手臂、以及不平整地面行走的稳定控制方法。通过设计高效的足部结构和先进的控制算法，提高机器人在复杂环境下的适应性和稳定性。
山东大学,37,5,山东大学在机器人领域的研究主要集中在多机器人协同控制、自动化家居辅助设备、人机交互与运动模仿技术以及复杂地形下的移动机器人设计。特别关注于通过深度学习和视觉导航提高机器人的智能化水平及环境适应能力。
北京松延动力科技集团股份有限公司,37,5,北京松延动力科技集团股份有限公司专注于人形机器人的运动控制与导航避障技术，特别是在髋关节结构设计、自适应步态转换及基于深度信息的分层AI导航避障方法方面具有显著优势，推动了仿人机器人在复杂环境下的高效、自然和安全移动。
清华大学,35,5,清华大学在机器人领域主要研究方向包括人形机器人的结构设计与优化、双足机器人的下肢机构及行走方法、以及适用于多种场景的音频传感器和语音传输技术。通过创新材料应用、关节驱动方式改进、弹簧耦合机制等手段，提升机器人运动灵活性、稳定性及环境适应能力。
江淮前沿技术协同创新中心,35,5,江淮前沿技术协同创新中心专注于机器人领域的安全防护、自主运动规划与控制、高效关节模组设计以及多传感器融合标定技术。其研究重点在于提高人机交互安全性，优化机器人动作规划以降低能耗，开发紧凑高效的关节组件，并实现多种传感器的精准联合标定。
成都人形机器人创新中心有限公司,33,5,成都人形机器人创新中心有限公司专注于机器人技术领域，主要研究方向包括高效空间位置测量、自动开关门装置、增强越障能力的缓冲悬挂系统、紧凑型直线驱动装置以及高夹力柔性灵巧手。这些技术共同提升了机器人的自动化水平、环境适应能力和操作灵活性。
北京小米机器人技术有限公司,31,5,北京小米机器人技术有限公司专注于提高机器人的运动控制与稳定性，通过优化步态规划、精确位姿确定、地形检测及适应性运动轨迹生成等技术，增强机器人在复杂环境中的自主导航能力和安全性。
上海心符科技有限公司,30,5,上海心符科技有限公司专注于人形机器人技术，特别是在仿真皮肤和触觉关节的设计上，通过多层结构和温控系统实现高仿真的质感与温度感知。同时，该公司还致力于开发智能陪护系统及优化机器人本体设计，以提升机器人的交互体验和外观逼真度。
华南理工大学,29,5,华南理工大学在机器人领域主要研究人形机器人的实时动作模仿与姿态映射技术，通过深度摄像头和几何分析方法实现对人体上半身动作、姿态及转体位移的高精度模仿，并开发了相应的相似度评价体系。同时，在微燃烧器设计方面也有创新，提升了燃烧效率和热量回收利用。
北京航空航天大学,29,5,北京航空航天大学在机器人技术领域主要研究方向为仿人机器人的足部设计与控制，特别是开发具有多自由度和自适应能力的柔性足部系统以提高机器人在复杂地形中的行走稳定性。此外，还涉及无人飞行器的室内定位与环境建模技术以及基于网页控制的模块化软体机器人系统的创新。
帕西尼感知科技(深圳)有限公司,29,5,帕西尼感知科技(深圳)有限公司专注于机器人遥操作技术及机械手爪设计，主要研究方向包括提高多手指机械手爪的灵活性、优化多机协作过程中的显示控制与跟踪方法，以及开发能够模仿人类动作的模型训练系统，以增强遥操作任务的执行精度和效率。
钛虎机器人科技(上海)有限公司,28,5,钛虎机器人科技(上海)有限公司专注于人形机器人的设计与开发，重点研究高效、紧凑的关节模组和腿部机构。其核心技术包括集成化行星关节模组、凸极磁路永磁制动关节模组以及单定子双转子电机结构，通过优化结构设计和散热系统提升机器人关节的稳定性和使用寿命。
镜识科技(上海)有限公司,28,5,镜识科技(上海)有限公司主要研究方向为人形机器人的关节驱动机构和腿部组件，通过优化电机与齿轮箱的紧凑连接、引入缓冲垫减少冲击磨损以及设计仿人灵巧手，提高机器人运动稳定性、抗冲击性能和使用寿命。
北京工业大学,25,5,北京工业大学在机器人领域主要研究方向包括模仿学习机制、基于深度传感器的室内定向方法、融合人体运动学约束的双臂协作控制技术，以及高精度齿轮测量装置和能量回收与释放的减速器设计。这些研究旨在提高机器人的自主学习能力、环境感知精度、操作效率及机械结构性能。
燕山大学,25,5,燕山大学在机器人领域专注于开发仿生关节技术，特别是人形机器人的关键运动部件如腰、踝、肩和肘关节。其研究重点在于设计结构简单、承载能力强且响应速度快的关节装置，以实现多自由度的复杂运动模拟，从而提高机器人动作的真实性和灵活性。
上海开普勒机器人有限公司,25,5,上海开普勒机器人有限公司专注于人形机器人的智能控制与学习技术，包括精准抓取、模仿学习数据采集、逆运动学轨迹规划及遥操作等，旨在提高机器人动作的准确性、实时性和自然度。
帕西尼感知科技(张家港)有限公司,25,5,帕西尼感知科技专注于机械手爪设计与控制、人工智能模型训练及遥操作技术，通过优化关节结构和附着物配置提升机械手灵活性，利用条件约束下的模型训练方法提高机器人学习效率，并开发了姿态传感器标定技术以降低安装精度要求。
中国科学技术大学,24,5,中国科学技术大学在机器人领域主要研究基于视觉的机械臂系统校准与控制、强化学习算法优化及其在智能体控制中的应用，特别是在提升动作选择准确性、连续控制稳定性以及增强算法泛化能力方面有显著贡献。
上海交通大学,24,5,上海交通大学在机器人领域的研究主要集中在仿生视觉系统、多足机器人的运动控制与结构设计以及人形机械臂的集成与优化。通过创新性的机械设计和智能控制系统，实现了机器人在复杂环境下的高效稳定运行，特别是在动态平衡、灵活操作及远程交互方面展现了显著的技术优势。
陕西伟景机器人科技有限公司,24,5,陕西伟景机器人科技有限公司专注于机器人灵巧手控制、手臂及肩关节驱动装置、双足机器人的机械腿设计以及人形机器人的升降机构。其核心技术在于通过创新的机械结构和控制方法，实现机器人动作的精准控制与高效执行，同时优化了机器人的体积、重量和能耗。
同济大学,23,5,同济大学在机器人领域专注于开发先进的运动控制与规划技术，特别是在仿人机器人和双足机器人的动态步态生成、基于CPG的控制网络优化以及复杂环境下的动作执行可靠性方面取得了显著成果。
深圳市优必选科技有限公司,23,5,深圳市优必选科技有限公司主要研究方向集中在机器人技术领域，特别是人形机器人的关节驱动结构、伺服舵机设计及优化、脚部结构的灵活性提升以及头部结构的创新设计，以实现更高效、灵活和人性化的机器人产品。
复旦大学,23,5,复旦大学在机器人技术领域的研究主要集中在开发具有高度智能化和多功能性的家用服务机器人，包括拟人表情实现、听视觉协同定位、目标跟随与避障以及结合家庭保姆和医疗康复功能的综合型机器人设计。这些研究致力于提升机器人的交互能力、环境适应性和实用性。
武汉真友科技有限公司,23,5,武汉真友科技有限公司专注于机器人领域的多自由度驱动机构、仿生关节设计及姿态检测技术，特别在轻量化、高集成度的关节驱动与控制方面具有显著创新。其研究还涵盖了人工肌肉长度测量及双足机器人的平衡控制系统，致力于实现高效、紧凑且拟人化的机器人运动性能。
深圳赛博格机器人有限公司,23,5,深圳赛博格机器人有限公司专注于人形机器人的关节模组设计与优化，包括高精度的线性关节和旋转关节，以及提升机器人感知能力的传感器外参校准技术。此外，该公司还致力于开发能够实现复杂运动的机器人结构组件，如灵活的头颈和脚踝结构。
北京优必选智能机器人有限公司,22,5,北京优必选智能机器人有限公司专注于人形机器人的关节连接可靠性测试、灵活的腰部和腿部结构设计，以及增强机器人肢体动作的创新技术。通过优化舵机布局和电导线管理，提高机器人整体灵活性和耐用性。
中国科学院自动化研究所,22,5,中国科学院自动化研究所在机器人领域主要研究方向包括轮腿机器人的自稳定控制、高冗余度柔顺关节设计、基于循环神经网络的肌肉骨骼机器人运动控制，以及智能硬件协同控制方法。这些技术旨在提高机器人的稳定性、灵活性、运动学习效率和人机交互能力。
波士顿动力公司,22,5,波士顿动力公司专注于机器人领域的高精度运动控制与感知技术，包括先进的扭矩传感、混合动力驱动系统、姿态稳定算法及精确的位置测量和脚步接触检测方法，以实现机器人在复杂环境下的高效、稳定和自主操作。
南京集萃人形机器人科技有限公司,22,5,南京集萃人形机器人科技有限公司专注于足式机器人的液压驱动系统及电液协同控制技术，致力于提高机器人在复杂环境下的运动性能和适应性。同时，该公司还研究了先进的动力学参数辨识方法和全局路径规划算法，以增强机器人的智能化和灵活性。
上海临界点创新智能科技有限公司,22,5,上海临界点创新智能科技有限公司专注于机器人灵巧手技术的研发，主要致力于提高灵巧手的结构紧凑性、灵活性和运动精度。通过创新的驱动机构设计和传动方式优化，实现了手指多自由度的高效控制，并显著减小了灵巧手的整体尺寸。
北京动易人工智能科技有限公司,22,5,北京动易人工智能科技有限公司主要研究方向集中在人形机器人的设计与优化，特别是在关节驱动、手腕结构简化及高效散热技术方面。通过创新的机械结构和动力系统布局，提高机器人动作灵活性、仿人效果及运行稳定性。
广州小鹏汽车科技有限公司,22,5,广州小鹏汽车科技有限公司在机器人领域主要研究方向为机械腿结构设计与优化，通过创新的关节组件和直线执行器布局减少驱动件数量、降低结构复杂度并提高动态稳定性。同时，该公司还探索了新型电池形态以提升空间利用率，并开发基于无线信号的灵活控制方法。
索尼公司,21,5,索尼公司在机器人领域主要研究有腿移动式机器人的动作控制技术，包括在异常情况下通过优化跌倒动作减少损害以及实现快速稳定的模式转换。此外，还关注于开发能够高效响应用户操作意图的输入装置和信息处理方法，以增强人机交互体验。
西北工业大学,21,5,西北工业大学在机器人领域主要研究方向包括类人机器人的动作调试与控制、全向步行技术、柔性执行机构设计以及智能多用途人形机器人的开发。此外，还探索了基于深度强化学习的无人机自主机动策略生成方法，以提高无人机任务执行效率和自主性。
达闼机器人股份有限公司,21,5,达闼机器人股份有限公司专注于智能机器人的自主定位与地图构建、动态平衡控制及安全避障技术，通过优化机器人动力学模型和实时跟踪技术提升人机交互体验，确保机器人在复杂环境中稳定运行并有效避免碰撞。
北京通用人工智能研究院,21,5,北京通用人工智能研究院专注于智能体的高级行为优化与学习技术，包括灵巧手动作模仿、异步规划及基于残差学习的动作模型训练，同时在具身智能体系统教学方法和场景问答模型生成方面也有深入研究，旨在提升机器人在复杂任务中的动态适应能力和人机交互体验。
之江实验室,21,5,之江实验室专注于机器人技术的创新与优化，涵盖双足机器人的环境适应性增强、高集成度和低成本的模块化关节设计、自然情感语音合成方法、以及具备高度拟人化操作能力的机械手结构。此外，在人工智能领域，该实验室还致力于开发基于知识图谱的高效问答系统。
深圳众擎机器人科技股份有限公司,21,5,深圳众擎机器人科技股份有限公司专注于人形机器人的关节设计与运动控制技术，通过高度集成化和模块化的设计减少体积和重量，同时利用先进的控制算法提升机器人在真实场景中的行走及运动表现。
数字华夏(深圳)科技有限公司,21,5,数字华夏(深圳)科技有限公司专注于机器人控制与协同技术，包括多机联动、触觉感知唤醒、移动自组网络集群控制及仿生机器人语音与口型同步。其核心技术在于提高机器人的响应速度、交互体验和实时控制能力，特别是在私有部署环境下的数据处理和任务编排。
浙江工业大学,20,5,浙江工业大学在机器人领域主要研究方向包括：高效灵活的机械腿设计与驱动技术、智能服务机器人如自动送菜设备的应用开发、以及基于视觉和姿态估计的仿人形机器人操作方法。这些研究旨在提高机器人的运动性能、环境适应性和人机交互的安全性。
北京光年无限科技有限公司,20,5,北京光年无限科技有限公司专注于人形机器人上肢结构的创新设计，通过优化关节连接方式和旋转机制，实现更自然流畅的动作模拟。同时，在音乐数据处理方面，该公司开发了能够根据用户输入的多模态数据生成舞蹈动作输出模型的技术，提升了机器人在音乐伴舞方面的互动性和表现力。
科沃斯机器人股份有限公司,20,5,科沃斯机器人股份有限公司主要研究方向为自主移动设备的环境感知与理解技术，包括基于面阵激光传感器和结构光模组的高精度环境信息采集及处理方法，以及自移动设备在复杂作业环境中的智能决策与高效通信策略。
上海大学,20,5,上海大学在机器人领域的研究主要集中在仿人形机器人的设计与控制技术，包括高动态多模式运动系统、基于新型材料的轻便驱动关节、自然流畅的步态规划算法以及创新的人机交互方式。这些技术共同提升了机器人在复杂环境下的适应性和交互体验。
九光智能(北京)技术有限公司,20,5,九光智能(北京)技术有限公司专注于人形机器人的关节系统设计，特别是手腕、肘部和肩部的紧凑型、高精度、模块化结构。其核心技术包括快拆设计、增强的抗冲击能力、多自由度运动以及高效的传动机制，旨在提高机器人关节的负载能力、运动范围和整体可靠性。
苏州大学,20,5,苏州大学在机器人领域主要研究方向包括：开发多功能、适应复杂环境的移动机器人，如水陆两栖球形机器人；设计高精度、自供电的人机交互控制装置和三维力感知机械手指，以提升人机协作效率与安全性；研制结构紧凑、驱动性能优异的线性执行器及高灵敏度触觉定位传感器，用于增强机器人动作精度与环境感知能力。
腾讯科技(深圳)有限公司,20,5,腾讯科技(深圳)有限公司在机器人领域主要研究方向包括提高机器人对环境的感知与适应能力，增强机器人的稳定性和灵活性，以及开发具有高精度和可靠性的机械关节和控制方法。特别关注于通过先进的传感器技术和智能算法来优化机器人肢体的运动控制及交互体验。
浙江理工大学,19,5,浙江理工大学在人形机器人领域主要研究方向为仿生腿部及足部结构设计，通过创新的驱动方式、关节机构和传感器布局，提高机器人的动态响应能力、稳定性与仿生度。特别关注于降低惯量、优化力传感系统以及实现多自由度运动控制。
中国人民解放军国防科技大学,18,5,国防科技大学在机器人领域主要研究多机器人系统的协同作业与优化部署，包括基于深度学习的路径跟随、任务分配及资源调度方法，以及无人机中继通信与运动耗能联合优化技术，旨在提高系统效率和适应复杂环境的能力。
哈尔滨工程大学,18,5,哈尔滨工程大学在机器人领域的研究主攻方向集中在仿人机器人的体感控制、深度强化学习与图像处理技术在复杂环境导航中的应用，以及水陆两栖人形机器人的设计与姿态调节方法。这些技术提升了机器人在多场景下的适应性和操作灵活性。
吉林大学,18,5,吉林大学在机器人技术领域主要研究方向包括仿生驱动与控制、高柔顺性低能耗关节设计以及关节保护机制。具体涉及实时模仿人体动作的控制系统、提高双足机器人运动效率和灵活性的仿生踝关节、模拟生物蠕动前进方式的驱动装置，以及具备防护功能的关节模组。
中国科学院宁波材料技术与工程研究所,18,5,中国科学院宁波材料技术与工程研究所主要研究方向为人形机器人关节传动系统优化，包括行星减速器和反向式行星滚柱丝杆的设计改进以提高传动效率、减少间隙及噪音；同时开发了基于激光诱导石墨烯的柔性电极层制备技术。
北京银河通用机器人股份有限公司,18,5,北京银河通用机器人股份有限公司专注于机器人技术领域，主要研究方向包括提高机器人运动协调信息生成效率、设计高自由度和稳定性的手指结构及其控制方法、开发高效的遥操作技术和自动充电方法。这些技术共同提升了机器人的灵活性、操作精度和自主能力。
浙江强脑科技有限公司,18,5,浙江强脑科技有限公司专注于机器人关节和肢体的创新设计，特别是在提高关节负载承受能力和运动稳定性方面。通过引入阻尼器和差动结构等技术，有效分担冲击力、减少能耗并提升执行器寿命，确保机器人在复杂工况下的高效、安全及可靠运行。
软银机器人欧洲公司,17,5,软银机器人欧洲公司专注于开发具有高度自主性和交互能力的仿人形机器人，研究方向包括先进的运动控制算法、安全的人机交互设计、自然语言处理与对话管理技术以及基于环境感知的智能决策系统。
卧安科技(深圳)有限公司,17,5,卧安科技(深圳)有限公司专注于智能家居设备和具身机器人的智能化控制与优化，包括通过自动化训练提升设备自主决策能力、改进透明物体识别精度、增强定位稳定性及避障效果，以及优化行进路径规划以提高通行效率。
五八智能科技(杭州)有限公司,17,5,五八智能科技(杭州)有限公司专注于移动机器人在复杂环境下的高精度定位与导航技术，包括室内外重定位、动态环境下的稳定定位及位姿平滑处理。同时，该公司还致力于开发高效的自主充电系统和基于多模态融合的端到端机器人臂爪控制方法，以提升机器人的自主性和操作精度。
重庆大学,17,5,重庆大学在机器人技术领域的研究主要集中在智能感知与决策、高效人机交互及协作系统。通过开发先进的视觉和传感器融合技术提高环境适应能力，设计柔性驱动关节增强穿戴舒适度与安全性，并利用强化学习算法优化多机器人协同配送效率，同时探索将健康监测与治疗功能集成于服务机器人中以提升用户体验。
七腾机器人有限公司,17,5,七腾机器人有限公司专注于人形机器人的设计与优化，重点研究方向包括提高机器人行走稳定性、手部结构的快速更换机制、障碍物感知设备的防护及清洁、关节过载保护以及手臂旋转角度调节机构的集成润滑与密封技术。
安徽大学,16,5,安徽大学在机器人领域的研究主要集中在模块化可重组机器人设计、高效紧凑的机械臂与关节电机技术以及创新的电机转子结构。特别关注于通过优化电机和关节设计来提升机器人的灵活性、效率及散热性能，同时致力于开发更接近人体运动特性的仿生关节模组。
广东工业大学,16,5,广东工业大学在机器人领域主要研究方向包括：开发具有高适应性和稳定性的仿人机器人系统，涵盖关节设计、智能控制算法、视觉处理与避障技术；同时探索新材料在摩擦纳米发电机中的应用以提升其性能和功能多样性。
上海天太智动机器人有限公司,16,5,上海天太智动机器人有限公司专注于人形机器人的研发，特别是在拟人腰部结构和整体运动协调性方面。其核心技术包括通过多自由度的腰部组件实现高度调整与扭动模拟，以及基于视觉反馈的自适应抓取装置，以提高机器人在复杂环境中的适应性和操作精度。
柏奥尼克机器人(宁波)有限公司,16,5,柏奥尼克机器人(宁波)有限公司专注于机器人多执行器集成控制和高精度位置检测技术，通过优化驱动板设计、关节执行器结构及编码器装置布局，提升机器人手部和机械臂的集成度、稳定性和安全性，同时降低成本。
青岛征和工业股份有限公司,16,5,青岛征和工业股份有限公司专注于人形机器人灵巧手技术的研发，特别是在手指驱动与传动系统方面。其核心技术包括微型链传动、腱绳结合的驱动方式以及分层模块化设计，旨在提高机械手的灵活性、抓取精度和空间利用率，同时降低成本并增强功能扩展性。
深圳市盛泰奇科技有限公司,16,5,深圳市盛泰奇科技有限公司专注于人形机器人电机技术的研发，主要方向包括高精度推杆电机、大功率无框电机的固定结构、高功率密度低惯量永磁力矩电机以及高效散热和极限保护装置。这些技术旨在提高电机运行精度、降低能耗、增强固定效果和延长使用寿命。
厦门理工学院,15,5,厦门理工学院在机器人领域的研究主要集中在基于云平台的多机器人协作与交互、图像处理及障碍物识别、以及特定任务下的机器人运动规划，如国际象棋下棋、迷宫行走和爬楼梯等。这些技术共同提升了机器人的自主性和环境适应能力。
北京中联国成科技有限公司,15,5,北京中联国成科技有限公司专注于人形机器人的控制、感知与交互技术，包括基于ROS的运动控制与目标识别、神经网络模型驱动的情感设计、高效避障路径规划以及动作识别与模仿。这些技术共同提升了机器人在复杂环境中的自主导航、任务执行及人机互动能力。
北京星动纪元科技有限公司,15,5,北京星动纪元科技有限公司专注于人形机器人及其关键部件的研发，特别是在腿部结构设计、高效电机技术及减速输出机构方面具有显著创新。其研究致力于提升机器人的运动性能、动力效率与结构紧凑性，通过优化关节驱动模组和电机组件的设计来实现更轻量化、高扭矩输出的机器人系统。
上海征和机器人有限公司,15,5,上海征和机器人有限公司专注于人形机器人灵巧手技术的研发，主要通过创新的驱动布局方案、微型链传动系统及多自由度设计，实现手指动作的高精度控制与灵活性提升，同时注重装置的小型化与成本优化。
上海心浪科技集团有限公司,15,5,上海心浪科技集团有限公司专注于仿生机器人技术领域，特别是在仿真人形机器人的颈部和脊柱结构设计方面。其核心技术包括轻量化、空心化和网状支撑结构，以及多自由度的柔顺运动和协同减震系统，旨在实现更灵活、稳定和拟人化的机器人运动。
鹿明机器人科技(深圳)有限公司,15,5,鹿明机器人科技(深圳)有限公司专注于人形机器人的设计与控制技术，包括高效灵活的关节传动系统、基于无线架构的传感器数据采集方法、实时惯性动捕与强化学习的全身控制方法，以及群体舞蹈控制系统的开发。这些技术共同提升了机器人运动的自由度、稳定性和协同性。
中国科学院沈阳自动化研究所,15,5,中国科学院沈阳自动化研究所在机器人领域主要研究方向为开发柔性关节和弹性元件，以提高机器人的灵活性和交互安全性，同时探索具有被动柔顺特性的下肢结构设计来增强双足行走稳定性，并通过虚拟现实技术实现对人形机器人的直观遥操作控制。
富士胶片商业创新有限公司,14,5,富士胶片商业创新有限公司主要研究方向集中在信息处理设备和系统，特别是涉及可移动物体的位置显示控制、多个人工智能协同处理以及机器人装置的远程操作权限管理。这些技术共同支持了更高效、智能的自动化与交互式应用场景。
宇树科技股份有限公司,14,5,宇树科技专注于足式机器人的运动控制与人机交互技术，研发了能够变转速比的腿部结构以提高机器人在不同状态下的灵活性和效率，同时通过动捕设备和数字孪生技术实现自然的人机协作及复杂环境下的精准动作执行。此外，还开发了沉浸式遥操作系统，增强远程操作的直观性和精度。
东北大学,14,5,东北大学在机器人领域的研究主要集中在模块化可重构多功能教育机器人、智能下棋机器人、多自由度混合驱动人工肌肉、融合脑肌电与单目视觉的仿人机器人实时控制以及基于自适应MPC的安全跟踪控制方法，涵盖了从基础教学实验平台到高级仿生驱动和复杂环境下的安全控制技术。
南京神源生智能科技有限公司,14,5,南京神源生智能科技有限公司专注于人形机器人仿生足系统的研究，重点开发具备六维力感知与控制、地形适应能力及刚度调节的仿生足结构。通过融合多点力传感器数据和动态反馈机制，提升机器人在复杂地形下的步态稳定性和行走效率。
浙江华震机器人传动有限公司,14,5,浙江华震机器人传动有限公司专注于人形机器人关节用紧凑型高精度摆线减速器的研发，通过集成无框力矩电机和优化摆线轮齿廓设计，实现高扭矩密度、高刚度和长寿命的关节模组，特别适用于空间受限且对性能要求高的应用场景。
宁波科星材料科技有限公司,14,5,宁波科星材料科技有限公司专注于人形机器人用电机的优化设计，主要研究方向包括提升电机散热效率、增强电机拆装便捷性、改进减震结构以提高运行平稳性和延长使用寿命，以及增强电机密封性能。
合肥工业大学,13,5,合肥工业大学在机器人领域主要研究方向包括基于神经网络和强化学习的步态规划、高精度触觉摩擦测试、以及高效避障与高性能关节模组设计，旨在提升机器人运动控制精度、环境适应能力和人机交互体验。
南京理工大学,13,5,南京理工大学在机器人领域主要研究方向包括柔性多臂气动夹持器、高效紧凑的电机与减速器一体化设计、抗长时遮挡的行人跟随方法以及高集成度和高性能的直线关节和丝杠副技术。这些技术旨在提高机器人的操作灵活性、运动精度及环境适应性。
三星电子株式会社,13,5,三星电子株式会社在机器人领域的研究主要集中在人形机器人的设计与控制上，包括提高其行走稳定性、手部灵活性以及通过可穿戴设备实现动作教学。此外，还涉及多工具模块化机器人系统的研究，以增强操作灵活性和任务执行能力。
川崎重工业株式会社,13,5,川崎重工业株式会社在机器人领域主要研究方向包括高效节能的液压驱动技术、优化设计以减少能耗的机器人关节构造、以及提高操作便捷性和安全性的机器人控制与训练系统。
合肥综合性国家科学中心人工智能研究院(安徽省人工智能实验室),13,5,该单位主要研究方向为开发具有高度仿生特性和自主操作能力的人形机器人，包括集成多模态传感器的双臂机器手、自动挂摘接地线的控制方法、腿部自主运动规划以及适用于居家养老和健康服务的智能轮式人形机器人。
浙江灵巧智能科技有限公司,13,5,浙江灵巧智能科技有限公司专注于机器人灵巧手及外骨骼技术的研发，主要研究方向包括高自由度、轻量化、模块化的手指结构设计与驱动方法，以及用于远程操作和人体运动姿态测量的外骨骼系统。
北京中科慧灵机器人技术有限公司,13,5,北京中科慧灵机器人技术有限公司专注于人形机器人的运动控制与结构设计，包括基于图像和状态信息的运动模型训练、并联脚踝结构的通用控制方法、仿生大腿和小腿结构设计以及在扰动环境下的动作生成技术，以提升机器人运动的稳定性和适应性。
北京因时机器人科技有限公司,12,5,北京因时机器人科技有限公司专注于手语翻译技术和机械灵巧手的研发。在手语翻译方面，通过视频识别和文本翻译模型实现跨语种交流；在机械灵巧手方面，设计了多种变胞机构和驱动方式，提升机械手指的自由度、灵活性和抓握能力，以适应不同物体的抓取需求。
北京精密机电控制设备研究所,12,5,北京精密机电控制设备研究所主要研究方向为高精度多自由度机械臂及其控制方法、智能外骨骼康复系统、以及精密传动机构如行星滚柱丝杠的设计与优化，重点在于提高系统的控制精度、智能化水平和承载性能。
索尼集团公司,12,5,索尼集团公司的研究主攻方向集中在利用传感器和用户交互技术，提升虚拟现实及增强现实体验的自然性和沉浸感，特别是在眼动追踪、手势识别、情绪估计以及环境感知反馈等方面的技术创新。
上海开普勒探索机器人有限公司,12,5,上海开普勒探索机器人有限公司专注于人形机器人的关节控制与视觉处理技术，通过神经网络优化逆运动学求解和关节角度控制，提高关节运动的精确度和效率；同时，利用多相机系统进行图像矫正与拼接，生成高精度的3D地图，增强机器人的环境感知能力。
