id,publication_no,肢体协调规划,监控安全报警,环境模式识别,人机交互输入,图像视觉分析,自主路径规划,仿生关节传动,伺服电机控制,仿生视觉传感,医疗辅助操作,双足移动底盘,仿生双臂系统,头部感知模块,具身智能控制,灵巧末端执行,柔性关节驱动,人机交互接口
29,CN101084817B,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
30,CN101092036B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,CN101116970A,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
32,CN101142062B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33,CN101154385A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,CN101164645A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35,CN101198387B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CN101204815B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
37,CN101229826B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
38,CN101293539A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,CN101301755B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,CN101301756B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,CN101306534B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,CN101307797B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43,CN101327818B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
44,CN101334063A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45,CN101340337A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,CN101403619B,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
47,CN101417425A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,CN101428421B,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
49,CN101433759B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,CN101450259A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,CN101464942B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,CN101476874B,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
53,CN101504542A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,CN101524594B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,CN101525011A,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
56,CN101554893B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
57,CN101564840A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,CN101610877B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,CN101618549B,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
61,CN101670581A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
62,CN101706296B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,CN101739172B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,CN101751852A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,CN101754739A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,CN101758498B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
67,CN101779991B,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
68,CN101780675B,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
69,CN101801486A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,CN101815562A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,CN101823517B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
72,CN101837592B,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
73,CN101852432B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,CN101905085B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CN101915975B,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
76,CN101919755B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
77,CN101960536B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,CN101991956A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
80,CN101995877A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,CN102079095A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
82,CN102099157B,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
83,CN102139713B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,CN102160008B,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
85,CN102166754B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,CN102177004B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
88,CN102177478A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
89,CN102180206B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
90,CN102188824B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,CN102189540A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
92,CN102196785B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,CN102198664B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
94,CN102265199B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,CN102265500B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,CN102294589B,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
98,CN102306017B,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1
99,CN102306026B,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
100,CN102339148A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
101,CN102371589B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
103,CN102375416B,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
104,CN102419926A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,CN102436200B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,CN102437601B,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
107,CN102514649A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
108,CN102530340A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,CN102553249B,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
110,CN102556199B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
111,CN102596516B,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
112,CN102632504B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,CN102641596A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,CN102698429B,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
115,CN102706489B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,CN102730095B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
117,CN102848397A,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1
118,CN102862160A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
119,CN102892388A,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
120,CN102902374A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,CN102915044B,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
122,CN102922521B,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
123,CN102975784B,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
124,CN102990932A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,CN103101054B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
126,CN103116354B,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
127,CN103116840A,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
128,CN103192390B,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
130,CN103192612B,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
131,CN103203746B,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
132,CN103213131B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
133,CN103240728A,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
134,CN103273984A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
135,CN103303381B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
136,CN103387017B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
137,CN103395069B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,CN103402354B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,CN103407513B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
140,CN103499972B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
141,CN103612687B,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
142,CN103616105B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
143,CN103770116B,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
144,CN103817695B,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
145,CN103831828B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,CN103878772B,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
147,CN103895021B,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
148,CN103895039B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,CN103901400B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,CN103901401B,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,CN103926933A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,CN103948484B,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
153,CN103958073B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,CN103989570B,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
155,CN104011613B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
156,CN104025106B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
157,CN104042344B,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
158,CN104055650B,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
159,CN104057452B,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
160,CN104107770B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,CN104174138B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,CN104260097A,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1
163,CN104298243B,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
164,CN104325462B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
165,CN104470686B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
166,CN104634486A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,CN104692288A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,CN104714555B,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
169,CN104723340B,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
170,CN104723355A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
171,CN104731092A,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,CN104736982B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,CN104742151B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
174,CN104769236B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,CN104769834B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,CN104771908B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
177,CN104793621B,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
178,CN104802876B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
179,CN104842369A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,CN104887312B,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
181,CN104898675A,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
182,CN104908060B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
183,CN104908838B,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
184,CN104950888B,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
185,CN104965517B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,CN104973158B,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
187,CN104985608B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
188,CN104999472B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,CN105035196B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,CN105059420B,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
191,CN105078576A,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
192,CN105128014B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
193,CN105128028B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
194,CN105151154B,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,CN105164549B,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
196,CN105215996B,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
197,CN105235768B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,CN105252532B,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
199,CN105270385B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200,CN105324792B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,CN105404295A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,CN105425799A,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
205,CN105429858B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,CN105538302B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
207,CN105553381A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,CN105608957A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
209,CN105619390B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
210,CN105619392B,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
211,CN105644652B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
212,CN105652738B,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
213,CN105653037A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
214,CN105654016A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,CN105671962B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,CN105680972A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
217,CN105690394A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
218,CN105710888B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
219,CN105716757B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,CN105739437B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
221,CN105745524B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,CN105751220A,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
223,CN105760894A,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
224,CN105798924B,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
225,CN105813812B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
226,CN105818136B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
228,CN105818143B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
229,CN105835044B,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,CN105835071A,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
231,CN105857431B,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
232,CN105881534A,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
233,CN105881543A,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1
235,CN105892405B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,CN105904460B,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
237,CN105912554B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,CN105930588B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
239,CN105936047B,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
240,CN105945994B,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
241,CN105947200A,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
242,CN105973143B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
243,CN105983850B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
245,CN105999719A,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
246,CN106003026A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
247,CN106005092B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
248,CN106030946B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,CN106039726B,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
250,CN106041957B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
251,CN106041958B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
252,CN106052943B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,CN106054756B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
254,CN106094875B,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
255,CN106112978B,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
256,CN106113057B,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
257,CN106133781B,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
258,CN106142095A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
259,CN106156778B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
260,CN106166745B,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
261,CN106197975B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
262,CN106217388B,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
263,CN106237624A,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
264,CN106239511A,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
265,CN106240671A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
266,CN106251764A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
267,CN106272387B,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
268,CN106272402B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
269,CN106272550B,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
270,CN106292423A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
271,CN106292424A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
272,CN106310666A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
273,CN106310667A,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
274,CN106314588A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
275,CN106314589B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
276,CN106314590B,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
277,CN106314591B,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
278,CN106325127B,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
279,CN106331475A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,CN106335058A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
281,CN106340235A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
282,CN106346481A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,CN106347581B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,CN106363641B,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
285,CN106378792A,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
286,CN106379437B,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
287,CN106379438B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
288,CN106406308A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
289,CN106414856B,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
290,CN106426095B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
291,CN106426168A,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
292,CN106426196B,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
295,CN106514655A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
296,CN106547884A,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
297,CN106557362B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
298,CN106573370B,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
300,CN106573371B,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
301,CN106573374A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
302,CN106573375A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
303,CN106575504A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
304,CN106595595B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
305,CN106599342B,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
306,CN106607910B,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
307,CN106625658A,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1
308,CN106625659A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
309,CN106625702A,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
310,CN106625751B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
311,CN106627007A,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
312,CN106647483A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
313,CN106662646B,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
314,CN106737584A,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
315,CN106737585B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
316,CN106737744A,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
317,CN106737848B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
318,CN106741279A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
319,CN106775807A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,CN106781295A,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,CN106782537A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
322,CN106790730A,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
323,CN106794578A,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
324,CN106794579B,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
325,CN106799733A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
326,CN106802658B,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
327,CN106808496B,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
328,CN106826759B,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
329,CN106840106B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
331,CN106873614A,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
332,CN106873853A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
333,CN106903704A,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
334,CN106912062A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,CN106921833A,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
336,CN106926250B,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
337,CN106926251B,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
